source_title,count
Metallurgical Transactions A,17
Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science,9
Journal of Alloys and Compounds,7
Zeitschrift fuer Metallkunde/Materials Research and Advanced Techniques,5
Soviet Powder Metallurgy and Metal Ceramics,5
Intermetallics,5
Poroshkovaya Metallurgiya,4
Keikinzoku/Journal of Japan Institute of Light Metals,4
"Materials Transactions, JIM",3
Nippon Kinzoku Gakkaishi/Journal of the Japan Institute of Metals,3
Metal Science and Heat Treatment,3
Materials Science and Engineering: A,3
Journal De Physique. IV : JP,3
Metallurgical and Materials Transactions A,3
Proceedings of the Second International Conference on Processing Materials for Properties,2
Pure and Applied Chemistry,2
Metallurgical and Materials Transactions B: Process Metallurgy and Materials Processing Science,2
Electrochimica Acta,2
Journal of Phase Equilibria,2
"Acta Polytechnica Scandinavica, Chemical Technology Series",2
Thin Solid Films,2
TMS Annual Meeting,2
Materials Science and Engineering A,2
Tetsu-To-Hagane/Journal of the Iron and Steel Institute of Japan,2
Sb Ved Pr Vys Sk Banske Ostrave Rada Hutn,2
Izvestiya AN SSSR: Metally,2
Journal of Materials Science,2
"materials transactions, jim",2
Journal De Physique,2
Materials Science and Engineering,2
Scripta Materialia,2
Journal of Physics: Condensed Matter,1
"Metallurgical transactions. A, Physical metallurgy and materials science",1
Journal of The Less-Common Metals,1
Institute of Physics Conference Series,1
Perspect in Hydrogen in Met,1
Technology Reports of Kansai University,1
Metal Science,1
JOURNAL OF THE JAPAN WELDING SOCIETY,1
Metallurgical Transactions,1
J Jap Inst Metals,1
Journal of Geochemical Exploration,1
International Journal of Refractory Metals and Hard Materials,1
Journal of New Materials for Electrochemical Systems,1
Materials Research Society Symposium - Proceedings,1
Materials Science,1
Applied Physics Letters,1
Acta Materialia,1
International Journal of Hydrogen Energy,1
Inorganic Chemistry,1
Kung Cheng Je Wu Li Hsueh Pao/Journal of Engineering Thermophysics,1
Russian Metallurgy (Metally),1
Izvestia Akademii nauk SSSR. Metally,1
ISIJ International,1
Izvestiya Akademii Nauk SSSR. Metally,1
Scripta Metallurgica et Materiala,1
Bulletin of Alloy Phase Diagrams,1
Sbornik vedeckych praci Vysoke skoly banske-Technicke univerzity Ostrava. Rada hutnicka,1
Revue de Metallurgie. Cahiers D'Informations Techniques,1
International Metals Reviews,1
Bio-Medical Materials and Engineering,1
Cailiao Gongcheng/Journal of Materials Engineering,1
Materials Science and Technology,1
Journal of Materials Engineering and Performance,1
Jinshu Xuebao/Acta Metallurgica Sinica,1
ASTM Special Technical Publication,1
Canadian Metallurgical Quarterly,1
