source_title,article_title,year,database,query
Proceedings of the Second International Conference on Processing Materials for Properties,Effect of carbon addition on the microstructures and mechanical properties of IMI205,2000-12-01,Scopus,Ti-Mo phase diagram
Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science,Pseudobinary diffusion coefficients in the Ti-Mo-Ta system,2000-01-01,Scopus,Ti-Mo phase diagram
Journal of Alloys and Compounds,Thermodynamic evaluation and calculation of phase equilibria of the Ti-Mo-C-N quaternary system,1999-01-01,Scopus,Ti-Mo phase diagram
"Materials Transactions, JIM",Morphology and crystallography of α precipitates in β Ti-Mo binary alloys,1998-01-01,Scopus,Ti-Mo phase diagram
Pure and Applied Chemistry,Interfacial chemistry: Reactions in inorganic systems,1998-01-01,Scopus,Ti-Mo phase diagram
Metallurgical and Materials Transactions B: Process Metallurgy and Materials Processing Science,A thermodynamic evaluation of the Ti-Mo-C system,1996-01-01,Scopus,Ti-Mo phase diagram
Journal of Physics: Condensed Matter,Application of first-principles methods to binary and ternary alloy phase diagram predictions,1995-01-01,Scopus,Ti-Mo phase diagram
Zeitschrift fuer Metallkunde/Materials Research and Advanced Techniques,Investigation of the Ti-Mo-N system at low nitrogen activities,1989-10-01,Scopus,Ti-Mo phase diagram
"Metallurgical transactions. A, Physical metallurgy and materials science",Stable and metastable Ti-Nb phase diagrams,1988-01-01,Scopus,Ti-Mo phase diagram
Journal of The Less-Common Metals,Phase relations in the Ti-Mo-S system: The structures of (Mo<inf>1 - x</inf>Ti<inf>x</inf>)<inf>2+y</inf>S<inf>3</inf> and Ti<inf>3</inf>Mo<inf> 3 4</inf>S<inf>5</inf>,1987-01-01,Scopus,Ti-Mo phase diagram
Institute of Physics Conference Series,ANALYTICAL ELECTRON MICROSCOPY OF PHASE SEPARATED Ti/Mo CEMENTED CARBIDES AND CARBONITRIDES.,1986-12-01,Scopus,Ti-Mo phase diagram
Perspect in Hydrogen in Met,THERMODYNAMICS OF THE SOLID SOLUTION OF HYDROGEN IN beta -TITANIUM ALLOYS: beta -Ti/Mo AND beta -Ti/Re.,1986-01-01,Scopus,Ti-Mo phase diagram
Soviet Powder Metallurgy and Metal Ceramics,Calculation of the liquidus surface of the Ti-Mo-Al system,1982-09-01,Scopus,Ti-Mo phase diagram
Metallurgical Transactions A,Effect of composition and high energy rate forging on the onset of precipitation in an iron-base superalloy,1982-03-01,Scopus,Ti-Mo phase diagram
Zeitschrift fuer Metallkunde/Materials Research and Advanced Techniques,"INVESTIGATIONS OF THE TERNARY SYSTEMS (Zr, Hf, Nb, Ta)-Al-C AND STUDIES ON COMPLEX CARBIDES.",1980-01-01,Scopus,Ti-Mo phase diagram
Technology Reports of Kansai University,SOLID PHASE TRANSFORMATION OF THE Ti-Mo BINARY SYSTEM.,1978-01-01,Scopus,Ti-Mo phase diagram
Nippon Kinzoku Gakkaishi/Journal of the Japan Institute of Metals,INVESTIGATION OF THE TITANIUM-MOLYBDENUM BINARY PHASE DIAGRAM.,1977-01-01,Scopus,Ti-Mo phase diagram
Metallurgical Transactions A,Thermal equilibria and mechanical stability of Ti<inf>3</inf> Al phase in Ti-Mo-Al alloys,1975-08-01,Scopus,Ti-Mo phase diagram
Metal Science,Determination of Phase Equilibrium in the Ti-Rich Ti–Mo–Al Ternary System Using the X-Ray Microanalyser,1975-01-01,Scopus,Ti-Mo phase diagram
Metal Science and Heat Treatment,Metastable diagram of high-purity Ti-Mo alloys,1974-04-01,Scopus,Ti-Mo phase diagram
JOURNAL OF THE JAPAN WELDING SOCIETY,The Studies of Continuous Cooling Transformation in Binary α+β and Metastable β Titanium Alloys,1972-01-01,Scopus,Ti-Mo phase diagram
Soviet Powder Metallurgy and Metal Ceramics,Polythermal Ti-∑MoNi (9:1) section of the ternary system Ti-Mo-Ni,1972-01-01,Scopus,Ti-Mo phase diagram
Metallurgical Transactions,Thermodynamics of titanium alloys: III. The Ti-Mo system,1971-10-01,Scopus,Ti-Mo phase diagram
J Jap Inst Metals,Isothermal transformation of Ti- Mo binary alloy,1971-01-01,Scopus,Ti-Mo phase diagram
Metal Science and Heat Treatment,Heat resistance and elastic properties of Ti-Mo alloys,1970-01-01,Scopus,Ti-Mo phase diagram
